Graph,Nodes,Edges,CWISCardinality,PR,TF,DA,DAIterative,DAOldFG,Boost,TFSpeedup,DASpeedup,DAItSpeedup,DAOldFGSpeedup,BoostSpeedup
osm_greenland-AM1.graph,11,50,0,11,28,4,4,9,12,0.393,2.75,2.75,1.222,0.917
osm_louisiana-AM2.graph,6,20,0,13,16,5,6,12,16,0.813,2.6,2.167,1.083,0.813
osm_wisconsin-AM3.graph,6,20,0,13,15,5,5,12,10,0.867,2.6,2.6,1.083,1.3
osm_oregon-AM2.graph,11,64,0,14,12,4,4,10,14,1.167,3.5,3.5,1.4,1.0
osm_new-york-AM1.graph,12,70,0,14,14,5,5,12,13,1.0,2.8,2.8,1.167,1.077
osm_maine-AM3.graph,12,80,0,14,14,5,5,12,11,1.0,2.8,2.8,1.167,1.273
osm_california-AM1.graph,7,24,0,15,16,5,5,12,12,0.938,3.0,3.0,1.25,1.25
osm_utah-AM2.graph,8,44,0,18,24,7,8,17,16,0.75,2.571,2.25,1.059,1.125
osm_kansas-AM1.graph,8,36,0,19,20,8,8,17,20,0.95,2.375,2.375,1.118,0.95
osm_washington-AM1.graph,16,88,0,20,43,6,7,16,24,0.465,3.333,2.857,1.25,0.833
snap_com-youtube.graph,15,110,0,21,47,8,10,21,21,0.447,2.625,2.1,1.0,1.0
osm_new-hampshire-AM2.graph,9,42,0,22,26,8,8,17,16,0.846,2.75,2.75,1.294,1.375
osm_canada-AM2.graph,19,108,0,23,42,10,12,24,19,0.548,2.3,1.917,0.958,1.211
osm_mexico-AM1.graph,9,40,0,26,22,8,9,18,25,1.182,3.25,2.889,1.444,1.04
osm_north-carolina-AM2.graph,19,138,0,29,24,11,12,23,24,1.208,2.636,2.417,1.261,1.208
osm_connecticut-AM3.graph,19,202,0,32,31,10,11,25,27,1.032,3.2,2.909,1.28,1.185
osm_florida-AM2.graph,28,212,0,41,38,12,13,35,35,1.079,3.417,3.154,1.171,1.171
osm_michigan-AM3.graph,36,270,0,54,51,18,18,48,37,1.059,3.0,3.0,1.125,1.459
osm_west-virginia-AM2.graph,28,394,0,58,64,18,18,47,42,0.906,3.222,3.222,1.234,1.381
osm_hawaii-AM1.graph,30,252,0,63,53,13,14,40,54,1.189,4.846,4.5,1.575,1.167
osm_massachusetts-AM1.graph,35,260,0,72,78,30,33,65,51,0.923,2.4,2.182,1.108,1.412
osm_mexico-AM2.graph,34,540,0,77,74,21,23,62,41,1.041,3.667,3.348,1.242,1.878
osm_kentucky-AM1.graph,45,478,0,99,90,22,24,64,70,1.1,4.5,4.125,1.547,1.414
osm_south-carolina-AM3.graph,79,1260,0,205,212,54,63,157,125,0.967,3.796,3.254,1.306,1.64
osm_rhode-island-AM1.graph,75,800,0,209,189,53,63,143,158,1.106,3.943,3.317,1.462,1.323
osm_tennessee-AM3.graph,67,1472,0,223,214,55,63,160,110,1.042,4.055,3.54,1.394,2.027
osm_california-AM2.graph,74,1918,0,281,278,67,76,194,144,1.011,4.194,3.697,1.448,1.951
osm_new-york-AM2.graph,75,2332,0,310,303,88,101,215,178,1.023,3.523,3.069,1.442,1.742
osm_nevada-AM3.graph,102,2492,0,383,372,91,103,252,195,1.03,4.209,3.718,1.52,1.964
osm_alabama-AM2.graph,118,2104,0,427,332,101,115,274,272,1.286,4.228,3.713,1.558,1.57
osm_colorado-AM3.graph,145,3042,0,518,403,119,136,343,247,1.285,4.353,3.809,1.51,2.097
osm_massachusetts-AM2.graph,184,6778,0,903,718,238,265,549,520,1.258,3.794,3.408,1.645,1.737
osm_maryland-AM3.graph,222,8272,0,929,956,238,254,667,381,0.972,3.903,3.657,1.393,2.438
