Graph,PROff,DAOff,DABFSOff,PushRelabel,Dinitz,FullBFS,NewFG,DinitzSpeedup,BFSSpeedup,NewFGSpeedup
osm_indiana-AM1.graph,1146,1146,1146,0.000130347,0.000114164,0.000127715,0.000056558,1.142,1.021,2.305
osm_new-mexico-AM2.graph,182,182,182,0.000130619,0.000125705,0.000108746,0.00007162,1.039,1.201,1.824
osm_indiana-AM3.graph,1146,1146,1146,0.000132879,0.00013061,0.000130653,0.000089594,1.017,1.017,1.483
osm_new-jersey-AM1.graph,256,256,256,0.000134362,0.000136519,0.000139715,0.000096023,0.984,0.962,1.399
osm_maine-AM1.graph,24921,24921,24921,0.000179999,0.000160191,0.000178435,0.000107523,1.124,1.009,1.674
osm_arkansas-AM1.graph,17702,17702,17702,0.000131952,0.000144045,0.000108494,0.000108684,0.916,1.216,1.214
osm_missouri-AM1.graph,7928,7928,7928,0.000092675,0.000100129,0.000141144,0.00011151,0.926,0.657,0.831
osm_delaware-AM1.graph,1060,1060,1060,0.000107852,0.000066798,0.0000571,0.000113124,1.615,1.889,0.953
osm_mississippi-AM1.graph,32273,32273,32273,0.000222468,0.000221235,0.000234876,0.00012722,1.006,0.947,1.749
osm_wyoming-AM2.graph,4568,4568,4568,0.000105505,0.000144939,0.000144004,0.000128645,0.728,0.733,0.82
osm_new-mexico-AM3.graph,182,182,182,0.000131584,0.000124098,0.000146851,0.000129286,1.06,0.896,1.018
osm_new-mexico-AM1.graph,182,182,182,0.000130518,0.000124314,0.000091441,0.000129366,1.05,1.427,1.009
osm_indiana-AM2.graph,1146,1146,1146,0.000135939,0.0052972,0.000127222,0.000129439,0.026,1.069,1.05
osm_missouri-AM3.graph,7928,7928,7928,0.000141466,0.000173358,0.000129332,0.000129844,0.816,1.094,1.09
osm_delaware-AM2.graph,1060,1060,1060,0.000131313,0.00011162,0.000138563,0.000132752,1.176,0.948,0.989
osm_new-jersey-AM2.graph,256,256,256,0.000155454,0.000076258,0.000119586,0.000132855,2.039,1.3,1.17
osm_new-jersey-AM3.graph,256,256,256,0.000119174,0.00012309,0.000125475,0.000134064,0.968,0.95,0.889
osm_delaware-AM3.graph,1060,1060,1060,0.00013025,0.000128781,0.000153167,0.00013761,1.011,0.85,0.947
osm_missouri-AM2.graph,7928,7928,7928,0.000100793,0.000128751,0.000147679,0.000143135,0.783,0.683,0.704
osm_wyoming-AM3.graph,4568,4568,4568,0.000152879,0.0001478,0.000152207,0.000143633,1.034,1.004,1.064
osm_tennessee-AM1.graph,29569,29569,29569,0.000145887,0.000195061,0.000138772,0.00014365,0.748,1.051,1.016
osm_arkansas-AM2.graph,20771,20771,20771,0.000299878,0.000298198,0.000268863,0.000146788,1.006,1.115,2.043
osm_wyoming-AM1.graph,4568,4568,4568,0.000139567,0.000140024,0.000078365,0.000148414,0.997,1.781,0.94
osm_alaska-AM2.graph,20900,20900,20900,0.000207517,0.000262711,0.000178121,0.000153988,0.79,1.165,1.348
osm_south-carolina-AM1.graph,50033,50033,50033,0.000158449,0.000229888,0.000249008,0.000160301,0.689,0.636,0.988
osm_alaska-AM1.graph,20266,20266,20266,0.000180138,0.000174867,0.000118331,0.000164623,1.03,1.522,1.094
osm_nebraska-AM1.graph,24345,24345,24345,0.000183321,0.000165717,0.00015028,0.000172797,1.106,1.22,1.061
osm_puerto-rico-AM1.graph,29802,29802,29802,0.000166981,0.000207972,0.000208743,0.000176049,0.803,0.8,0.948
osm_montana-AM1.graph,55348,55348,55348,0.000136746,0.000364464,0.000222343,0.00018569,0.375,0.615,0.736
osm_wisconsin-AM2.graph,44651,44651,44651,0.000279024,0.000145324,0.000305865,0.000187253,1.92,0.912,1.49
osm_maryland-AM1.graph,43930,43930,43930,0.000382848,0.000384386,0.000198779,0.000190468,0.996,1.926,2.01
osm_west-virginia-AM1.graph,42868,42868,42868,0.000168438,0.000273206,0.000181255,0.000192279,0.617,0.929,0.876
osm_wisconsin-AM1.graph,44608,44608,44608,0.00020517,0.000224589,0.000123575,0.00020542,0.914,1.66,0.999
osm_maine-AM2.graph,26208,26208,26208,0.000176591,0.000274692,0.000239596,0.000212817,0.643,0.737,0.83
osm_mississippi-AM2.graph,33187,33187,33187,0.00038415,0.000330796,0.000268076,0.000240369,1.161,1.433,1.598
osm_nevada-AM1.graph,45761,45761,45761,0.000160066,0.00023893,0.000273438,0.000240951,0.67,0.585,0.664
osm_idaho-AM1.graph,70623,70623,70623,0.000210487,0.000334967,0.000290024,0.000251148,0.628,0.726,0.838
osm_new-hampshire-AM1.graph,108186,108186,108186,0.000446632,0.000428649,0.000386223,0.000258311,1.042,1.156,1.729
osm_connecticut-AM1.graph,55131,55131,55131,0.000161545,0.000244406,0.000168369,0.000266053,0.661,0.959,0.607
osm_iowa-AM1.graph,47907,47907,47907,0.00022551,0.000238211,0.000244943,0.000266902,0.947,0.921,0.845
osm_michigan-AM1.graph,51076,51076,51076,0.000183044,0.000194283,0.000166583,0.000272219,0.942,1.099,0.672
osm_minnesota-AM1.graph,28692,28692,28692,0.000174548,0.000310123,0.000169789,0.000274631,0.563,1.028,0.636
osm_illinois-AM1.graph,54678,54678,54678,0.000198626,0.000314329,0.000198323,0.00027571,0.632,1.002,0.72
osm_north-carolina-AM1.graph,45254,45254,45254,0.000217707,0.000292101,0.000236502,0.000280078,0.745,0.921,0.777
osm_ohio-AM1.graph,50964,50964,50964,0.000278214,0.000168374,0.000301634,0.000295144,1.652,0.922,0.943
osm_louisiana-AM1.graph,51446,51446,51446,0.000269727,0.000361391,0.000354873,0.000337188,0.746,0.76,0.8
osm_tennessee-AM2.graph,31567,31567,31567,0.00035807,0.000395481,0.000285237,0.000341262,0.905,1.255,1.049
osm_utah-AM1.graph,87856,87856,87856,0.000291073,0.000491747,0.000327381,0.000352902,0.592,0.889,0.825
osm_colorado-AM1.graph,50507,50507,50507,0.000253889,0.000194331,0.000374545,0.000368436,1.306,0.678,0.689
osm_oregon-AM1.graph,161298,161298,161298,0.000682922,0.000573706,0.000899788,0.00038457,1.19,0.759,1.776
osm_canada-AM1.graph,78466,78466,78466,0.000426509,0.000439152,0.000247829,0.000395334,0.971,1.721,1.079
osm_pennsylvania-AM1.graph,133914,133914,133914,0.000447233,0.000445476,0.000412509,0.00040169,1.004,1.084,1.113
osm_florida-AM1.graph,225655,225655,225655,0.000776877,0.000723354,0.000596038,0.000412652,1.074,1.303,1.883
osm_vermont-AM1.graph,55884,55884,55884,0.000290437,0.000448337,0.000469,0.000413779,0.648,0.619,0.702
osm_alaska-AM3.graph,22325,22325,22325,0.000411196,0.000379795,0.000450902,0.000426647,1.083,0.912,0.964
osm_michigan-AM2.graph,51928,51928,51928,0.000240919,0.000367185,0.000505159,0.000465367,0.656,0.477,0.518
osm_puerto-rico-AM2.graph,32921,32921,32921,0.000675595,0.000704573,0.000635976,0.000477914,0.959,1.062,1.414
osm_nebraska-AM2.graph,26680,26680,26680,0.000551531,0.000443222,0.00032745,0.000512685,1.244,1.684,1.076
osm_iowa-AM2.graph,47984,47984,47984,0.000449513,0.000587858,0.000511272,0.000532374,0.765,0.879,0.844
osm_connecticut-AM2.graph,56058,56058,56058,0.000546985,0.000600296,0.000293518,0.000550927,0.911,1.864,0.993
osm_colorado-AM2.graph,52172,52172,52172,0.000676702,0.000964933,0.000634181,0.000587846,0.701,1.067,1.151
osm_georgia-AM1.graph,205068,205068,205068,0.000588596,0.000586267,0.000578014,0.000591264,1.004,1.018,0.995
osm_illinois-AM2.graph,55496,55496,55496,0.00108464,0.00113275,0.000868397,0.00059576,0.958,1.249,1.821
osm_south-carolina-AM2.graph,51446,51446,51446,0.000335862,0.000686442,0.000594076,0.000632628,0.489,0.565,0.531
osm_california-AM1.graph,39303,39303,39303,0.000782141,0.000681329,0.000314342,0.000698096,1.148,2.488,1.12
osm_alabama-AM1.graph,167588,167588,167588,0.000996825,0.000980192,0.000670264,0.000700245,1.017,1.487,1.424
